"","state_code","county_code","site_number","parameter_code","poc","latitude","longitude","datum","parameter","sample_duration_code","sample_duration","pollutant_standard","metric_used","method","year","units_of_measure","event_type","observation_count","observation_percent","validity_indicator","valid_day_count","required_day_count","exceptional_data_count","null_observation_count","primary_exceedance_count","secondary_exceedance_count","certification_indicator","arithmetic_mean","standard_deviation","first_max_value","first_max_datetime","second_max_value","second_max_datetime","third_max_value","third_max_datetime","fourth_max_value","fourth_max_datetime","first_max_nonoverlap_value","first_max_n_o_datetime","second_max_nonoverlap_value","second_max_n_o_datetime","ninety_ninth_percentile","ninety_eighth_percentile","ninety_fifth_percentile","ninetieth_percentile","seventy_fifth_percentile","fiftieth_percentile","tenth_percentile","local_site_name","site_address","state","county","city","cbsa_code","cbsa","date_of_last_change"
"2","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2020,"Parts per million","No Events",5616,95,"Y",233,245,0,495,0,0,"Certified",0.040575,0.010147,0.06,"2020-06-14 12:00",0.057,"2020-03-01 16:00",0.057,"2020-04-11 15:00",0.057,"2020-06-13 15:00",NA,NA,NA,NA,0.057,0.057,0.055,0.052,0.048,0.043,0.028,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2021-10-31"
"210","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5796,94,"Y",231,245,0,0,0,0,"Certified",0.036879,0.009692,0.056,"2020-06-14 09:00",0.054,"2020-08-07 10:00",0.053,"2020-06-13 10:00",0.052,"2020-03-01 11:00",NA,NA,NA,NA,0.053,0.052,0.051,0.049,0.044,0.038,0.026,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2021-10-31"
"3","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5796,94,"Y",231,245,0,0,0,0,"Certified",0.036879,0.009692,0.056,"2020-06-14 09:00",0.054,"2020-08-07 10:00",0.053,"2020-06-13 10:00",0.052,"2020-03-01 11:00",NA,NA,NA,NA,0.053,0.052,0.051,0.049,0.044,0.038,0.026,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2021-10-31"
"4","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2020,"Parts per million","No Events",4118,95,"Y",233,245,0,0,0,0,"Certified",0.036639,0.009748,0.056,"2020-06-14 09:00",0.054,"2020-08-07 10:00",0.053,"2020-06-13 10:00",0.052,"2020-03-01 11:00",NA,NA,NA,NA,0.053,0.052,0.051,0.049,0.044,0.038,0.025,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2021-10-31"
"5","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2020,"Parts per million","No Events",5918,100,"Y",245,245,0,254,0,0,"Certified",0.042792,0.010569,0.066,"2020-06-18 16:00",0.065,"2020-05-30 16:00",0.063,"2020-06-15 14:00",0.063,"2020-06-20 12:00",NA,NA,NA,NA,0.063,0.062,0.058,0.056,0.05,0.044,0.032,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2021-10-31"
"6","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",6116,100,"Y",245,245,0,0,0,0,"Certified",0.039045,0.0102,0.061,"2020-06-18 10:00",0.06,"2020-05-30 11:00",0.06,"2020-06-15 09:00",0.059,"2020-05-02 09:00",NA,NA,NA,NA,0.06,0.058,0.055,0.052,0.046,0.04,0.029,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2021-10-31"
"7","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",6116,100,"Y",245,245,0,0,0,0,"Certified",0.039045,0.0102,0.061,"2020-06-18 10:00",0.06,"2020-05-30 11:00",0.06,"2020-06-15 09:00",0.059,"2020-05-02 09:00",NA,NA,NA,NA,0.06,0.058,0.055,0.052,0.046,0.04,0.029,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2021-10-31"
"8","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2020,"Parts per million","No Events",4337,100,"Y",245,245,0,0,0,0,"Certified",0.038935,0.010243,0.061,"2020-06-18 10:00",0.06,"2020-05-30 11:00",0.06,"2020-06-15 09:00",0.059,"2020-05-02 09:00",NA,NA,NA,NA,0.06,0.058,0.055,0.052,0.046,0.04,0.028,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2021-10-31"
"9","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2020,"Parts per million","No Events",5464,95,"Y",232,245,0,520,0,0,"Certified",0.042793,0.011322,0.087,"2020-05-19 15:00",0.068,"2020-06-01 14:00",0.066,"2020-05-28 13:00",0.066,"2020-06-20 12:00",NA,NA,NA,NA,0.066,0.066,0.06,0.056,0.051,0.043,0.028,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2021-10-31"
"10","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2020,"Parts per million","No Events",5622,94,"Y",231,245,0,0,0,0,"Certified",0.038186,0.010603,0.071,"2020-05-19 10:00",0.061,"2020-06-17 10:00",0.06,"2020-08-07 10:00",0.059,"2020-06-20 09:00",NA,NA,NA,NA,0.06,0.058,0.055,0.052,0.047,0.038,0.024,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2021-10-31"
