"","...1","state_code","county_code","site_number","parameter_code","poc","latitude","longitude","datum","parameter","sample_duration_code","sample_duration","pollutant_standard","metric_used","method","year","units_of_measure","event_type","observation_count","observation_percent","validity_indicator","valid_day_count","required_day_count","exceptional_data_count","null_observation_count","primary_exceedance_count","secondary_exceedance_count","certification_indicator","arithmetic_mean","standard_deviation","first_max_value","first_max_datetime","second_max_value","second_max_datetime","third_max_value","third_max_datetime","fourth_max_value","fourth_max_datetime","first_max_nonoverlap_value","first_max_n_o_datetime","second_max_nonoverlap_value","second_max_n_o_datetime","ninety_ninth_percentile","ninety_eighth_percentile","ninety_fifth_percentile","ninetieth_percentile","seventy_fifth_percentile","fiftieth_percentile","tenth_percentile","local_site_name","site_address","state","county","city","cbsa_code","cbsa","date_of_last_change"
"1",2,28,"011","0001",44201,1,33.746056,-90.723028,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2012,"Parts per million","No Events",5500,98,"Y",241,245,0,380,0,0,"Certified",0.051448,0.012182,0.088,2012-06-26 17:00:00,0.085,2012-05-23 16:00:00,0.081,2012-06-25 14:00:00,0.079,2012-06-24 16:00:00,NA,NA,NA,NA,0.081,0.078,0.07,0.067,0.06,0.052,0.036,"Cleveland","213 N. BAYOU AVE.","Mississippi","Bolivar","Cleveland",17380,"Cleveland, MS",2021-11-25
"2",210,28,"011","0001",44201,1,33.746056,-90.723028,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2012,"Parts per million","No Events",5758,98,"Y",240,245,0,0,0,0,"Certified",0.047146,0.011793,0.079,2012-05-23 10:00:00,0.078,2012-06-26 12:00:00,0.076,2012-06-25 10:00:00,0.076,2012-06-27 10:00:00,NA,NA,NA,NA,0.076,0.072,0.066,0.062,0.056,0.048,0.032,"Cleveland","213 N. BAYOU AVE.","Mississippi","Bolivar","Cleveland",17380,"Cleveland, MS",2021-11-25
"3",3,28,"011","0001",44201,1,33.746056,-90.723028,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2012,"Parts per million","No Events",5758,98,"Y",240,245,0,0,4,4,"Certified",0.047146,0.011793,0.079,2012-05-23 10:00:00,0.078,2012-06-26 12:00:00,0.076,2012-06-25 10:00:00,0.076,2012-06-27 10:00:00,NA,NA,NA,NA,0.076,0.072,0.066,0.062,0.056,0.048,0.032,"Cleveland","213 N. BAYOU AVE.","Mississippi","Bolivar","Cleveland",17380,"Cleveland, MS",2021-11-25
"4",4,28,"011","0001",44201,1,33.746056,-90.723028,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2012,"Parts per million","No Events",4079,97,"Y",238,245,0,0,7,7,"Certified",0.047185,0.011823,0.079,2012-05-23 10:00:00,0.078,2012-06-26 12:00:00,0.076,2012-06-25 10:00:00,0.076,2012-06-27 10:00:00,NA,NA,NA,NA,0.076,0.072,0.066,0.062,0.056,0.048,0.031,"Cleveland","213 N. BAYOU AVE.","Mississippi","Bolivar","Cleveland",17380,"Cleveland, MS",2021-11-25
"5",5,28,"033","0002",44201,1,34.82056,-89.98778,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2012,"Parts per million","No Events",5558,98,"Y",241,245,0,322,0,0,"Certified",0.052365,0.013822,0.103,2012-06-25 12:00:00,0.091,2012-06-13 13:00:00,0.085,2012-05-10 17:00:00,0.084,2012-05-17 15:00:00,NA,NA,NA,NA,0.085,0.084,0.076,0.072,0.059,0.051,0.036,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando",32820,"Memphis, TN-MS-AR",2021-11-25
"6",6,28,"033","0002",44201,1,34.82056,-89.98778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2012,"Parts per million","No Events",5806,98,"Y",240,245,0,0,1,1,"Certified",0.047533,0.012913,0.086,2012-06-25 10:00:00,0.08,2012-06-13 10:00:00,0.076,2012-05-17 10:00:00,0.075,2012-06-28 10:00:00,NA,NA,NA,NA,0.076,0.075,0.071,0.067,0.054,0.046,0.032,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando",32820,"Memphis, TN-MS-AR",2021-11-25
"7",7,28,"033","0002",44201,1,34.82056,-89.98778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2012,"Parts per million","No Events",5806,98,"Y",240,245,0,0,3,3,"Certified",0.047533,0.012913,0.086,2012-06-25 10:00:00,0.08,2012-06-13 10:00:00,0.076,2012-05-17 10:00:00,0.075,2012-06-28 10:00:00,NA,NA,NA,NA,0.076,0.075,0.071,0.067,0.054,0.046,0.032,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando",32820,"Memphis, TN-MS-AR",2021-11-25
"8",8,28,"033","0002",44201,1,34.82056,-89.98778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2012,"Parts per million","No Events",4108,98,"Y",240,245,0,0,14,14,"Certified",0.047517,0.012984,0.086,2012-06-25 10:00:00,0.08,2012-06-13 10:00:00,0.076,2012-05-17 10:00:00,0.075,2012-06-28 10:00:00,NA,NA,NA,NA,0.076,0.075,0.071,0.067,0.054,0.046,0.032,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando",32820,"Memphis, TN-MS-AR",2021-11-25
"9",9,28,"075","0003",44201,1,32.364565,-88.731491,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2012,"Parts per million","No Events",5384,96,"Y",235,245,0,496,0,0,"Certified",0.044213,0.010374,0.071,2012-06-27 11:00:00,0.069,2012-05-18 11:00:00,0.069,2012-06-26 15:00:00,0.067,2012-05-30 11:00:00,NA,NA,NA,NA,0.069,0.065,0.062,0.057,0.052,0.044,0.03,"Meridian","Hwy 19 and 53rd Ave","Mississippi","Lauderdale","Meridian",32940,"Meridian, MS",2021-11-25
"10",10,28,"075","0003",44201,1,32.364565,-88.731491,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2012,"Parts per million","No Events",5639,96,"Y",234,245,0,0,0,0,"Certified",0.039726,0.010155,0.067,2012-06-27 09:00:00,0.066,2012-06-26 11:00:00,0.063,2012-05-18 09:00:00,0.063,2012-05-23 09:00:00,NA,NA,NA,NA,0.063,0.062,0.055,0.052,0.047,0.039,0.026,"Meridian","Hwy 19 and 53rd Ave","Mississippi","Lauderdale","Meridian",32940,"Meridian, MS",2021-11-25
