"","state_code","county_code","site_number","parameter_code","poc","latitude","longitude","datum","parameter","sample_duration_code","sample_duration","pollutant_standard","metric_used","method","year","units_of_measure","event_type","observation_count","observation_percent","validity_indicator","valid_day_count","required_day_count","exceptional_data_count","null_observation_count","primary_exceedance_count","secondary_exceedance_count","certification_indicator","arithmetic_mean","standard_deviation","first_max_value","first_max_datetime","second_max_value","second_max_datetime","third_max_value","third_max_datetime","fourth_max_value","fourth_max_datetime","first_max_nonoverlap_value","first_max_n_o_datetime","second_max_nonoverlap_value","second_max_n_o_datetime","ninety_ninth_percentile","ninety_eighth_percentile","ninety_fifth_percentile","ninetieth_percentile","seventy_fifth_percentile","fiftieth_percentile","tenth_percentile","local_site_name","site_address","state","county","city","cbsa_code","cbsa","date_of_last_change"
"2","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2021,"Parts per million","No Events",5624,97,"Y",238,245,0,256,0,0,"Certification not required",0.042651,0.00934,0.066,"2021-06-17 16:00",0.065,"2021-06-14 13:00",0.065,"2021-06-18 09:00",0.062,"2021-04-26 16:00",NA,NA,NA,NA,0.065,0.061,0.057,0.054,0.05,0.043,0.029,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2022-02-18"
"210","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2021,"Parts per million","No Events",5766,97,"Y",238,245,0,0,0,0,"Certification not required",0.038702,0.009241,0.059,"2021-06-14 09:00",0.059,"2021-06-17 11:00",0.059,"2021-06-18 08:00",0.058,"2021-03-09 12:00",NA,NA,NA,NA,0.059,0.057,0.052,0.05,0.046,0.039,0.025,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2022-02-18"
"3","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2021,"Parts per million","No Events",5766,97,"Y",238,245,0,0,0,0,"Certification not required",0.038702,0.009241,0.059,"2021-06-14 09:00",0.059,"2021-06-17 11:00",0.059,"2021-06-18 08:00",0.058,"2021-03-09 12:00",NA,NA,NA,NA,0.059,0.057,0.052,0.05,0.046,0.039,0.025,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2022-02-18"
"4","28","081","0005","44201",1,34.264917,-88.766222,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2021,"Parts per million","No Events",4096,98,"Y",241,245,0,0,0,0,"Certification not required",0.038589,0.009357,0.059,"2021-06-14 09:00",0.059,"2021-06-17 11:00",0.059,"2021-06-18 08:00",0.058,"2021-03-09 12:00",NA,NA,NA,NA,0.059,0.057,0.051,0.05,0.046,0.039,0.025,"TUPELO AIRPORT NEAR OLD NWS OFFICE","West Jackson at Tupelo Airport","Mississippi","Lee","Tupelo","46180","Tupelo, MS","2022-02-18"
"5","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2021,"Parts per million","No Events",5557,97,"Y",238,245,0,323,0,0,"Certification not required",0.044857,0.00989,0.077,"2021-06-15 14:00",0.069,"2021-07-11 11:00",0.067,"2021-05-08 16:00",0.067,"2021-06-17 13:00",NA,NA,NA,NA,0.067,0.066,0.06,0.057,0.052,0.045,0.031,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2022-02-18"
"6","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2021,"Parts per million","No Events",5696,96,"Y",235,245,0,0,0,0,"Certification not required",0.041157,0.009494,0.067,"2021-06-15 12:00",0.064,"2021-06-17 11:00",0.063,"2021-06-14 11:00",0.063,"2021-07-11 09:00",NA,NA,NA,NA,0.063,0.062,0.056,0.053,0.048,0.041,0.028,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2022-02-18"
"7","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2021,"Parts per million","No Events",5696,96,"Y",235,245,0,0,0,0,"Certification not required",0.041157,0.009494,0.067,"2021-06-15 12:00",0.064,"2021-06-17 11:00",0.063,"2021-06-14 11:00",0.063,"2021-07-11 09:00",NA,NA,NA,NA,0.063,0.062,0.056,0.053,0.048,0.041,0.028,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2022-02-18"
"8","28","011","0002","44201",1,33.750838,-90.734175,"NAD83","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2021,"Parts per million","No Events",4040,96,"Y",235,245,0,0,0,0,"Certification not required",0.0412,0.009508,0.067,"2021-06-15 12:00",0.064,"2021-06-17 11:00",0.063,"2021-06-14 11:00",0.063,"2021-07-11 09:00",NA,NA,NA,NA,0.063,0.062,0.056,0.053,0.048,0.042,0.028,"Cleveland Delta State","highway 8 west","Mississippi","Bolivar","Cleveland","17380","Cleveland, MS","2022-02-18"
"9","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2021,"Parts per million","No Events",5550,98,"Y",239,245,0,330,0,0,"Certification not required",0.042845,0.010216,0.074,"2021-06-14 15:00",0.069,"2021-06-16 16:00",0.066,"2021-08-06 11:00",0.064,"2021-04-23 13:00",NA,NA,NA,NA,0.066,0.064,0.06,0.056,0.05,0.043,0.03,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2022-02-18"
"10","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 1997","Daily maximum of 8 hour running average of observed hourly values",NA,2021,"Parts per million","No Events",5736,98,"Y",239,245,0,0,0,0,"Certification not required",0.038615,0.009625,0.064,"2021-06-14 12:00",0.064,"2021-06-16 12:00",0.061,"2021-08-06 09:00",0.057,"2021-05-08 23:00",NA,NA,NA,NA,0.061,0.057,0.054,0.052,0.045,0.039,0.026,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2022-02-18"
"11","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-Hour 2008","Daily maximum of 8 hour running average of observed hourly values",NA,2021,"Parts per million","No Events",5736,98,"Y",239,245,0,0,0,0,"Certification not required",0.038615,0.009625,0.064,"2021-06-14 12:00",0.064,"2021-06-16 12:00",0.061,"2021-08-06 09:00",0.057,"2021-05-08 23:00",NA,NA,NA,NA,0.061,0.057,0.054,0.052,0.045,0.039,0.026,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2022-02-18"
"12","28","047","0008","44201",1,30.390369,-89.049778,"WGS84","Ozone","W","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","Daily maximum of 8-hour running average",NA,2021,"Parts per million","No Events",4064,97,"Y",237,245,0,0,0,0,"Certification not required",0.038312,0.009665,0.064,"2021-06-14 12:00",0.061,"2021-08-06 09:00",0.057,"2021-05-08 23:00",0.057,"2021-05-09 07:00",NA,NA,NA,NA,0.057,0.057,0.054,0.052,0.045,0.038,0.026,"Gulfport Youth Court","47 Maple Street","Mississippi","Harrison","Gulfport","25060","Gulfport-Biloxi-Pascagoula, MS","2022-02-18"
"13","28","033","0002","44201",1,34.82056,-89.98778,"WGS84","Ozone","1","1 HOUR","Ozone 1-hour 1979","Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM)","INSTRUMENTAL - ULTRA VIOLET ABSORPTION",2021,"Parts per million","No Events",5608,98,"Y",240,245,0,272,0,0,"Certification not required",0.045817,0.01167,0.084,"2021-06-14 13:00",0.08,"2021-08-05 14:00",0.076,"2021-06-15 15:00",0.073,"2021-06-16 15:00",NA,NA,NA,NA,0.076,0.073,0.065,0.061,0.054,0.046,0.029,"Hernando","5 EAST SOUTH ST. (HERNANDO)","Mississippi","DeSoto","Hernando","32820","Memphis, TN-MS-AR","2022-02-18"
