"","state_code","county_code","site_number","parameter_code","poc","latitude","longitude","datum","parameter","sample_duration_code","sample_duration","pollutant_standard","metric_used","method","year","units_of_measure","event_type","observation_count","observation_percent","validity_indicator","valid_day_count","required_day_count","exceptional_data_count","null_observation_count","primary_exceedance_count","secondary_exceedance_count","certification_indicator","arithmetic_mean","standard_deviation","first_max_value","first_max_datetime","second_max_value","second_max_datetime","third_max_value","third_max_datetime","fourth_max_value","fourth_max_datetime","first_max_nonoverlap_value","first_max_n_o_datetime","second_max_nonoverlap_value","second_max_n_o_datetime","ninety_ninth_percentile","ninety_eighth_percentile","ninety_fifth_percentile","ninetieth_percentile","seventy_fifth_percentile","fiftieth_percentile","tenth_percentile","local_site_name","site_address","state","county","city","cbsa_code","cbsa","date_of_last_change"
"2","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","1","1 HOUR",NA,"Observed Values","Teledyne T640 at 5.0 LPM - Broadband spectroscopy",2020,"Micrograms/cubic meter (LC)","No Events",8632,98,"Y",362,366,0,152,NA,NA,"Certified",9.700162,6.041609,85.2,"2020-03-08 17:00",83.9,"2020-12-09 21:00",77.2,"2020-03-08 18:00",75.6,"2020-12-09 20:00",NA,NA,NA,NA,30.6,25.6,20.2,17.1,11.9,8.2,4.3,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"210","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","X","24-HR BLK AVG","PM25 24-hour 2006","Daily Mean",NA,2020,"Micrograms/cubic meter (LC)","No Events",360,98,"Y",360,366,0,0,0,0,"Certified",9.665833,4.251721,32.1,"2020-06-26 00:00",24.5,"2020-12-10 00:00",24.2,"2020-12-09 00:00",23.6,"2020-06-25 00:00",NA,NA,NA,NA,23.6,19.3,17.6,15.8,11.7,8.6,5.4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"3","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","X","24-HR BLK AVG","PM25 Annual 2006","Quarterly Means of Daily Means",NA,2020,"Micrograms/cubic meter (LC)","No Events",360,98,"Y",360,366,0,0,NA,NA,"Certified",9.665833,4.251721,32.1,"2020-06-26 00:00",24.5,"2020-12-10 00:00",24.2,"2020-12-09 00:00",23.6,"2020-06-25 00:00",NA,NA,NA,NA,23.6,19.3,17.6,15.8,11.7,8.6,5.4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"4","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","X","24-HR BLK AVG","PM25 24-hour 2012","Daily Mean",NA,2020,"Micrograms/cubic meter (LC)","No Events",360,98,"Y",360,366,0,0,0,0,"Certified",9.665833,4.251721,32.1,"2020-06-26 00:00",24.5,"2020-12-10 00:00",24.2,"2020-12-09 00:00",23.6,"2020-06-25 00:00",NA,NA,NA,NA,23.6,19.3,17.6,15.8,11.7,8.6,5.4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"5","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","X","24-HR BLK AVG","PM25 Annual 2012","Quarterly Means of Daily Means",NA,2020,"Micrograms/cubic meter (LC)","No Events",360,98,"Y",360,366,0,0,NA,NA,"Certified",9.665833,4.251721,32.1,"2020-06-26 00:00",24.5,"2020-12-10 00:00",24.2,"2020-12-09 00:00",23.6,"2020-06-25 00:00",NA,NA,NA,NA,23.6,19.3,17.6,15.8,11.7,8.6,5.4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"6","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","X","24-HR BLK AVG","PM25 24-hour 1997","Daily Mean",NA,2020,"Micrograms/cubic meter (LC)","No Events",360,98,"Y",360,366,0,0,NA,NA,"Certified",9.665833,4.251721,32.1,"2020-06-26 00:00",24.5,"2020-12-10 00:00",24.2,"2020-12-09 00:00",23.6,"2020-06-25 00:00",NA,NA,NA,NA,23.6,19.3,17.6,15.8,11.7,8.6,5.4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"7","28","035","0004","88101",3,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","X","24-HR BLK AVG","PM25 Annual 1997","Quarterly Means of Daily Means",NA,2020,"Micrograms/cubic meter (LC)","No Events",360,98,"Y",360,366,0,0,45,45,"Certified",9.665833,4.251721,32.1,"2020-06-26 00:00",24.5,"2020-12-10 00:00",24.2,"2020-12-09 00:00",23.6,"2020-06-25 00:00",NA,NA,NA,NA,23.6,19.3,17.6,15.8,11.7,8.6,5.4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"8","28","035","0004","88101",2,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","7","24 HOUR","PM25 24-hour 2006","Daily Mean","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",2020,"Micrograms/cubic meter (LC)","No Events",57,93,"Y",57,61,0,4,0,0,"Certified",8.485965,4.667266,33.8,"2020-06-26 00:00",16.2,"2020-03-28 00:00",14.2,"2020-04-03 00:00",14.1,"2020-07-14 00:00",NA,NA,NA,NA,33.8,16.2,14.2,13.4,10.6,7.7,4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"9","28","035","0004","88101",2,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","7","24 HOUR","PM25 Annual 2006","Quarterly Means of Daily Means","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",2020,"Micrograms/cubic meter (LC)","No Events",57,93,"Y",57,61,0,4,NA,NA,"Certified",8.485965,4.667266,33.8,"2020-06-26 00:00",16.2,"2020-03-28 00:00",14.2,"2020-04-03 00:00",14.1,"2020-07-14 00:00",NA,NA,NA,NA,33.8,16.2,14.2,13.4,10.6,7.7,4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"10","28","035","0004","88101",2,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","7","24 HOUR","PM25 24-hour 2012","Daily Mean","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",2020,"Micrograms/cubic meter (LC)","No Events",57,93,"Y",57,61,0,4,0,0,"Certified",8.485965,4.667266,33.8,"2020-06-26 00:00",16.2,"2020-03-28 00:00",14.2,"2020-04-03 00:00",14.1,"2020-07-14 00:00",NA,NA,NA,NA,33.8,16.2,14.2,13.4,10.6,7.7,4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"11","28","035","0004","88101",2,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","7","24 HOUR","PM25 Annual 2012","Quarterly Means of Daily Means","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",2020,"Micrograms/cubic meter (LC)","No Events",57,93,"Y",57,61,0,4,NA,NA,"Certified",8.485965,4.667266,33.8,"2020-06-26 00:00",16.2,"2020-03-28 00:00",14.2,"2020-04-03 00:00",14.1,"2020-07-14 00:00",NA,NA,NA,NA,33.8,16.2,14.2,13.4,10.6,7.7,4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
"12","28","035","0004","88101",2,31.323639,-89.287167,"WGS84","PM2.5 - Local Conditions","7","24 HOUR","PM25 24-hour 1997","Daily Mean","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric",2020,"Micrograms/cubic meter (LC)","No Events",57,93,"Y",57,61,0,4,0,0,"Certified",8.485965,4.667266,33.8,"2020-06-26 00:00",16.2,"2020-03-28 00:00",14.2,"2020-04-03 00:00",14.1,"2020-07-14 00:00",NA,NA,NA,NA,33.8,16.2,14.2,13.4,10.6,7.7,4,"Hattiesburg","205 Bay Street","Mississippi","Forrest","Hattiesburg","25620","Hattiesburg, MS","2021-10-31"
