"","sample_duration","arithmetic_mean","ninety_eighth_percentile","local_site_name","latitude","longitude"
"5","24-HR BLK AVG",9.665833,19.3,"Hattiesburg",31.323639,-89.287167
"11","24 HOUR",8.485965,16.2,"Hattiesburg",31.323639,-89.287167
"18","24-HR BLK AVG",8.625069,20.2,"Cleveland Delta State",33.750838,-90.734175
"25","24-HR BLK AVG",9.609143,19.9,"Gulfport Youth Court",30.390369,-89.049778
"32","24-HR BLK AVG",8.226722,17.8,"Hernando",34.82166,-89.98783
"39","24-HR BLK AVG",10.175766,21.3,"Hinds CC",32.346722,-90.225667
"46","24-HR BLK AVG",10.013462,21.6,"Jackson NCORE",32.329111,-90.182722
"52","24 HOUR",8.199138,19.3,"Jackson NCORE",32.329111,-90.182722
"59","24-HR BLK AVG",8.662817,17.3,"Pascagoula",30.378287,-88.53393
"66","24-HR BLK AVG",8.389143,17.5,"Waveland",30.300833,-89.395916
